clip,mos,source,severity,freq_hz
video85.mp4,100.0,0120.mp4,0.0000,0.00
video86.mp4,50.7,0120.mp4,0.4925,5.10
video87.mp4,100.0,3964.mp4,0.0000,0.00
video88.mp4,72.4,3964.mp4,0.2765,3.25
video89.mp4,100.0,4416.mp4,0.0000,0.00
video90.mp4,72.8,4416.mp4,0.2722,7.17
video91.mp4,100.0,1501.mp4,0.0000,0.00
video92.mp4,15.5,1501.mp4,0.8455,4.84
video93.mp4,100.0,2384.mp4,0.0000,0.00
video94.mp4,82.8,2384.mp4,0.1716,6.23
video95.mp4,100.0,3141.mp4,0.0000,0.00
video96.mp4,55.8,3141.mp4,0.4419,4.19
video97.mp4,100.0,3519.mp4,0.0000,0.00
video98.mp4,43.0,3519.mp4,0.5698,3.22
video99.mp4,100.0,0047.mp4,0.0000,0.00
video100.mp4,18.7,0047.mp4,0.8128,6.24
video101.mp4,100.0,1802.mp4,0.0000,0.00
video102.mp4,11.8,1802.mp4,0.8819,7.56
video103.mp4,100.0,1497.mp4,0.0000,0.00
video104.mp4,32.3,1497.mp4,0.6773,5.26
video105.mp4,100.0,1323.mp4,0.0000,0.00
video106.mp4,10.5,1323.mp4,0.8952,4.91
video107.mp4,100.0,4419.mp4,0.0000,0.00
video108.mp4,75.7,4419.mp4,0.2426,6.48
video109.mp4,100.0,1991.mp4,0.0000,0.00
video110.mp4,48.7,1991.mp4,0.5130,4.05
video111.mp4,100.0,2618.mp4,0.0000,0.00
video112.mp4,68.5,2618.mp4,0.3154,5.41
video113.mp4,100.0,1122.mp4,0.0000,0.00
video114.mp4,67.2,1122.mp4,0.3275,5.65
video115.mp4,100.0,1253.mp4,0.0000,0.00
video116.mp4,36.8,1253.mp4,0.6318,4.49
video117.mp4,100.0,0361.mp4,0.0000,0.00
video118.mp4,22.1,0361.mp4,0.7794,6.86
video119.mp4,100.0,2649.mp4,0.0000,0.00
video120.mp4,47.1,2649.mp4,0.5294,6.80
video121.mp4,100.0,4043.mp4,0.0000,0.00
video122.mp4,63.9,4043.mp4,0.3612,7.85
video123.mp4,100.0,1994.mp4,0.0000,0.00
video124.mp4,84.2,1994.mp4,0.1577,3.18
video125.mp4,100.0,0091.mp4,0.0000,0.00
video126.mp4,25.5,0091.mp4,0.7454,6.25
video127.mp4,100.0,1204.mp4,0.0000,0.00
video128.mp4,79.0,1204.mp4,0.2103,6.61
video129.mp4,100.0,1800.mp4,0.0000,0.00
video130.mp4,81.7,1800.mp4,0.1825,7.69
video131.mp4,100.0,3949.mp4,0.0000,0.00
video132.mp4,61.0,3949.mp4,0.3897,6.34
video133.mp4,100.0,2858.mp4,0.0000,0.00
video134.mp4,51.1,2858.mp4,0.4890,6.74
video135.mp4,100.0,0186.mp4,0.0000,0.00
video136.mp4,50.2,0186.mp4,0.4977,7.02
video137.mp4,100.0,3325.mp4,0.0000,0.00
video138.mp4,57.6,3325.mp4,0.4244,4.43
video139.mp4,100.0,2107.mp4,0.0000,0.00
video140.mp4,56.9,2107.mp4,0.4308,7.80
video141.mp4,100.0,0478.mp4,0.0000,0.00
video142.mp4,51.6,0478.mp4,0.4840,7.21
video143.mp4,100.0,1836.mp4,0.0000,0.00
video144.mp4,32.5,1836.mp4,0.6751,4.50
video145.mp4,100.0,3175.mp4,0.0000,0.00
video146.mp4,36.1,3175.mp4,0.6388,6.72
video147.mp4,100.0,0118.mp4,0.0000,0.00
video148.mp4,69.1,0118.mp4,0.3089,3.20
video149.mp4,100.0,1778.mp4,0.0000,0.00
video150.mp4,32.0,1778.mp4,0.6804,6.01
video151.mp4,100.0,4301.mp4,0.0000,0.00
video152.mp4,31.5,4301.mp4,0.6851,4.33
video153.mp4,100.0,0489.mp4,0.0000,0.00
video154.mp4,17.3,0489.mp4,0.8275,4.36
video155.mp4,100.0,3531.mp4,0.0000,0.00
video156.mp4,37.0,3531.mp4,0.6304,7.41
video157.mp4,100.0,3849.mp4,0.0000,0.00
video158.mp4,75.2,3849.mp4,0.2475,6.76
video159.mp4,100.0,1933.mp4,0.0000,0.00
video160.mp4,24.4,1933.mp4,0.7563,7.26
video161.mp4,100.0,0739.mp4,0.0000,0.00
video162.mp4,76.7,0739.mp4,0.2331,6.46
video163.mp4,100.0,0794.mp4,0.0000,0.00
video164.mp4,67.8,0794.mp4,0.3221,5.92
video165.mp4,100.0,0447.mp4,0.0000,0.00
video166.mp4,84.2,0447.mp4,0.1578,7.03
video167.mp4,100.0,2808.mp4,0.0000,0.00
video168.mp4,49.4,2808.mp4,0.5062,6.82
video169.mp4,100.0,3366.mp4,0.0000,0.00
video170.mp4,10.1,3366.mp4,0.8993,7.89
video171.mp4,100.0,0587.mp4,0.0000,0.00
video172.mp4,79.2,0587.mp4,0.2082,5.99
video173.mp4,100.0,2330.mp4,0.0000,0.00
video174.mp4,66.4,2330.mp4,0.3356,6.22
video175.mp4,100.0,2877.mp4,0.0000,0.00
video176.mp4,10.6,2877.mp4,0.8941,5.01
video177.mp4,100.0,1118.mp4,0.0000,0.00
video178.mp4,30.1,1118.mp4,0.6989,4.65
video179.mp4,100.0,1393.mp4,0.0000,0.00
video180.mp4,39.4,1393.mp4,0.6060,6.44
video181.mp4,100.0,1796.mp4,0.0000,0.00
video182.mp4,26.9,1796.mp4,0.7315,5.98
video183.mp4,100.0,0763.mp4,0.0000,0.00
video184.mp4,58.6,0763.mp4,0.4143,7.49
video185.mp4,100.0,4436.mp4,0.0000,0.00
video186.mp4,84.3,4436.mp4,0.1565,6.99
video187.mp4,100.0,1839.mp4,0.0000,0.00
video188.mp4,52.5,1839.mp4,0.4746,4.99
video189.mp4,100.0,2617.mp4,0.0000,0.00
video190.mp4,55.6,2617.mp4,0.4438,6.78
video191.mp4,100.0,3281.mp4,0.0000,0.00
video192.mp4,58.8,3281.mp4,0.4124,7.42
video193.mp4,100.0,3768.mp4,0.0000,0.00
video194.mp4,64.8,3768.mp4,0.3517,4.56
video195.mp4,100.0,1883.mp4,0.0000,0.00
video196.mp4,81.0,1883.mp4,0.1898,3.30
video197.mp4,100.0,2358.mp4,0.0000,0.00
video198.mp4,40.5,2358.mp4,0.5954,5.32
video199.mp4,100.0,1549.mp4,0.0000,0.00
video200.mp4,37.2,1549.mp4,0.6281,3.66
video201.mp4,100.0,0378.mp4,0.0000,0.00
video202.mp4,10.2,0378.mp4,0.8976,6.08
video203.mp4,100.0,0616.mp4,0.0000,0.00
video204.mp4,40.5,0616.mp4,0.5952,7.22
video205.mp4,100.0,1384.mp4,0.0000,0.00
video206.mp4,30.8,1384.mp4,0.6920,3.81
video207.mp4,100.0,2564.mp4,0.0000,0.00
video208.mp4,16.2,2564.mp4,0.8384,7.95
video209.mp4,100.0,3125.mp4,0.0000,0.00
video210.mp4,15.1,3125.mp4,0.8492,7.48
video211.mp4,100.0,4526.mp4,0.0000,0.00
video212.mp4,60.4,4526.mp4,0.3964,5.80
video213.mp4,100.0,0506.mp4,0.0000,0.00
video214.mp4,26.8,0506.mp4,0.7321,3.41
video215.mp4,100.0,2744.mp4,0.0000,0.00
video216.mp4,14.3,2744.mp4,0.8573,3.83
video217.mp4,100.0,3319.mp4,0.0000,0.00
video218.mp4,58.4,3319.mp4,0.4157,3.92
video219.mp4,100.0,3717.mp4,0.0000,0.00
video220.mp4,48.0,3717.mp4,0.5200,3.40
video221.mp4,100.0,3535.mp4,0.0000,0.00
video222.mp4,68.6,3535.mp4,0.3140,3.34
video223.mp4,100.0,2038.mp4,0.0000,0.00
video224.mp4,60.4,2038.mp4,0.3962,7.20
video225.mp4,100.0,2160.mp4,0.0000,0.00
video226.mp4,52.7,2160.mp4,0.4728,6.10
video227.mp4,100.0,2703.mp4,0.0000,0.00
video228.mp4,70.7,2703.mp4,0.2927,5.06
video229.mp4,100.0,0248.mp4,0.0000,0.00
video230.mp4,47.7,0248.mp4,0.5229,6.47
video231.mp4,100.0,3909.mp4,0.0000,0.00
video232.mp4,84.3,3909.mp4,0.1565,7.77
video233.mp4,100.0,4087.mp4,0.0000,0.00
video234.mp4,13.6,4087.mp4,0.8639,3.70
video235.mp4,100.0,1599.mp4,0.0000,0.00
video236.mp4,46.8,1599.mp4,0.5317,3.23
video237.mp4,100.0,2490.mp4,0.0000,0.00
video238.mp4,61.7,2490.mp4,0.3825,7.98
video239.mp4,100.0,3622.mp4,0.0000,0.00
video240.mp4,37.1,3622.mp4,0.6286,3.56
video241.mp4,100.0,3666.mp4,0.0000,0.00
video242.mp4,37.0,3666.mp4,0.6302,5.26
video243.mp4,100.0,4057.mp4,0.0000,0.00
video244.mp4,15.2,4057.mp4,0.8480,5.15
video245.mp4,100.0,1757.mp4,0.0000,0.00
video246.mp4,24.6,1757.mp4,0.7539,4.80
video247.mp4,100.0,0001.mp4,0.0000,0.00
video248.mp4,56.8,0001.mp4,0.4316,3.45
video249.mp4,100.0,2920.mp4,0.0000,0.00
video250.mp4,33.6,2920.mp4,0.6638,6.48
video251.mp4,100.0,3762.mp4,0.0000,0.00
video252.mp4,48.5,3762.mp4,0.5151,5.95
video253.mp4,100.0,2797.mp4,0.0000,0.00
video254.mp4,57.9,2797.mp4,0.4213,5.60
video255.mp4,100.0,4167.mp4,0.0000,0.00
video256.mp4,69.7,4167.mp4,0.3030,3.09
video257.mp4,100.0,3746.mp4,0.0000,0.00
video258.mp4,31.8,3746.mp4,0.6822,5.63
video259.mp4,100.0,3809.mp4,0.0000,0.00
video260.mp4,53.9,3809.mp4,0.4612,6.93
video261.mp4,100.0,4314.mp4,0.0000,0.00
video262.mp4,14.2,4314.mp4,0.8578,5.66
video263.mp4,100.0,0425.mp4,0.0000,0.00
video264.mp4,73.3,0425.mp4,0.2665,5.74
video265.mp4,100.0,0122.mp4,0.0000,0.00
video266.mp4,74.3,0122.mp4,0.2567,4.33
video267.mp4,100.0,0217.mp4,0.0000,0.00
video268.mp4,11.0,0217.mp4,0.8904,3.69
video269.mp4,100.0,3189.mp4,0.0000,0.00
video270.mp4,12.1,3189.mp4,0.8794,4.78
video271.mp4,100.0,1896.mp4,0.0000,0.00
video272.mp4,43.9,1896.mp4,0.5614,7.27
video273.mp4,100.0,1475.mp4,0.0000,0.00
video274.mp4,30.2,1475.mp4,0.6983,4.57
video275.mp4,100.0,0169.mp4,0.0000,0.00
video276.mp4,34.4,0169.mp4,0.6563,6.71
video277.mp4,100.0,3121.mp4,0.0000,0.00
video278.mp4,25.5,3121.mp4,0.7447,5.41
video279.mp4,100.0,3110.mp4,0.0000,0.00
video280.mp4,41.1,3110.mp4,0.5888,6.44
video281.mp4,100.0,2332.mp4,0.0000,0.00
video282.mp4,77.1,2332.mp4,0.2293,3.37
video283.mp4,100.0,0194.mp4,0.0000,0.00
video284.mp4,84.3,0194.mp4,0.1571,5.35
video285.mp4,100.0,3699.mp4,0.0000,0.00
video286.mp4,69.0,3699.mp4,0.3095,4.70
video287.mp4,100.0,2521.mp4,0.0000,0.00
video288.mp4,63.6,2521.mp4,0.3643,5.33
video289.mp4,100.0,2430.mp4,0.0000,0.00
video290.mp4,42.0,2430.mp4,0.5799,5.55
video291.mp4,100.0,4498.mp4,0.0000,0.00
video292.mp4,56.8,4498.mp4,0.4324,6.67
video293.mp4,100.0,2028.mp4,0.0000,0.00
video294.mp4,62.4,2028.mp4,0.3757,7.97
video295.mp4,100.0,3706.mp4,0.0000,0.00
video296.mp4,31.0,3706.mp4,0.6902,7.07
video297.mp4,100.0,1311.mp4,0.0000,0.00
video298.mp4,71.1,1311.mp4,0.2887,6.03
video299.mp4,100.0,2109.mp4,0.0000,0.00
video300.mp4,56.9,2109.mp4,0.4313,7.26
video301.mp4,100.0,2636.mp4,0.0000,0.00
video302.mp4,66.5,2636.mp4,0.3350,5.47
video303.mp4,100.0,0162.mp4,0.0000,0.00
video304.mp4,49.4,0162.mp4,0.5056,7.48
video305.mp4,100.0,1515.mp4,0.0000,0.00
video306.mp4,28.4,1515.mp4,0.7159,5.97
video307.mp4,100.0,3032.mp4,0.0000,0.00
video308.mp4,28.7,3032.mp4,0.7126,4.07
video309.mp4,100.0,2663.mp4,0.0000,0.00
video310.mp4,68.9,2663.mp4,0.3113,3.31
video311.mp4,100.0,0103.mp4,0.0000,0.00
video312.mp4,71.8,0103.mp4,0.2820,6.81
video313.mp4,100.0,3989.mp4,0.0000,0.00
video314.mp4,53.1,3989.mp4,0.4688,5.63
video315.mp4,100.0,1057.mp4,0.0000,0.00
video316.mp4,17.9,1057.mp4,0.8214,6.56
video317.mp4,100.0,0430.mp4,0.0000,0.00
video318.mp4,26.8,0430.mp4,0.7321,6.80
video319.mp4,100.0,1412.mp4,0.0000,0.00
video320.mp4,30.8,1412.mp4,0.6917,6.28
video321.mp4,100.0,1200.mp4,0.0000,0.00
video322.mp4,49.3,1200.mp4,0.5066,3.11
video323.mp4,100.0,2871.mp4,0.0000,0.00
video324.mp4,10.7,2871.mp4,0.8930,6.37
video325.mp4,100.0,4180.mp4,0.0000,0.00
video326.mp4,31.6,4180.mp4,0.6838,7.28
video327.mp4,100.0,3524.mp4,0.0000,0.00
video328.mp4,64.7,3524.mp4,0.3527,6.34
video329.mp4,100.0,0444.mp4,0.0000,0.00
video330.mp4,49.5,0444.mp4,0.5054,4.36
video331.mp4,100.0,1545.mp4,0.0000,0.00
video332.mp4,53.8,1545.mp4,0.4616,4.38
video333.mp4,100.0,1319.mp4,0.0000,0.00
video334.mp4,76.7,1319.mp4,0.2334,4.63
video335.mp4,100.0,1313.mp4,0.0000,0.00
video336.mp4,34.2,1313.mp4,0.6579,4.44
video337.mp4,100.0,3296.mp4,0.0000,0.00
video338.mp4,18.2,3296.mp4,0.8175,4.13
video339.mp4,100.0,2888.mp4,0.0000,0.00
video340.mp4,61.0,2888.mp4,0.3902,3.78
video341.mp4,100.0,0073.mp4,0.0000,0.00
video342.mp4,18.2,0073.mp4,0.8176,4.24
video343.mp4,100.0,1404.mp4,0.0000,0.00
video344.mp4,34.5,1404.mp4,0.6554,4.99
video345.mp4,100.0,2729.mp4,0.0000,0.00
video346.mp4,78.6,2729.mp4,0.2136,5.34
video347.mp4,100.0,3497.mp4,0.0000,0.00
video348.mp4,25.3,3497.mp4,0.7465,7.61
video349.mp4,100.0,3514.mp4,0.0000,0.00
video350.mp4,55.7,3514.mp4,0.4434,3.04
video351.mp4,100.0,3360.mp4,0.0000,0.00
video352.mp4,76.0,3360.mp4,0.2401,5.15
video353.mp4,100.0,4099.mp4,0.0000,0.00
video354.mp4,62.4,4099.mp4,0.3757,5.09
video355.mp4,100.0,1592.mp4,0.0000,0.00
video356.mp4,29.1,1592.mp4,0.7089,3.74
video357.mp4,100.0,3142.mp4,0.0000,0.00
video358.mp4,72.6,3142.mp4,0.2742,5.44
video359.mp4,100.0,1449.mp4,0.0000,0.00
video360.mp4,15.6,1449.mp4,0.8444,4.79
video361.mp4,100.0,1878.mp4,0.0000,0.00
video362.mp4,82.3,1878.mp4,0.1770,7.97
video363.mp4,100.0,1579.mp4,0.0000,0.00
video364.mp4,82.6,1579.mp4,0.1736,4.42
video365.mp4,100.0,0109.mp4,0.0000,0.00
video366.mp4,65.2,0109.mp4,0.3476,6.75
video367.mp4,100.0,3645.mp4,0.0000,0.00
video368.mp4,63.5,3645.mp4,0.3652,5.56
video369.mp4,100.0,3852.mp4,0.0000,0.00
video370.mp4,78.3,3852.mp4,0.2174,6.48
video371.mp4,100.0,0818.mp4,0.0000,0.00
video372.mp4,75.1,0818.mp4,0.2487,4.62
video373.mp4,100.0,3808.mp4,0.0000,0.00
video374.mp4,49.7,3808.mp4,0.5033,4.46
video375.mp4,100.0,1078.mp4,0.0000,0.00
video376.mp4,65.1,1078.mp4,0.3490,5.72
video377.mp4,100.0,0006.mp4,0.0000,0.00
video378.mp4,83.3,0006.mp4,0.1673,5.70
video379.mp4,100.0,0236.mp4,0.0000,0.00
video380.mp4,27.2,0236.mp4,0.7276,7.04
video381.mp4,100.0,3582.mp4,0.0000,0.00
video382.mp4,21.9,3582.mp4,0.7812,3.53
video383.mp4,100.0,2292.mp4,0.0000,0.00
video384.mp4,42.3,2292.mp4,0.5771,6.96
video385.mp4,100.0,2784.mp4,0.0000,0.00
video386.mp4,20.0,2784.mp4,0.8000,4.77
video387.mp4,100.0,1810.mp4,0.0000,0.00
video388.mp4,54.3,1810.mp4,0.4573,7.34
video389.mp4,100.0,1872.mp4,0.0000,0.00
video390.mp4,11.5,1872.mp4,0.8849,3.64
video391.mp4,100.0,3703.mp4,0.0000,0.00
video392.mp4,52.6,3703.mp4,0.4742,5.58
video393.mp4,100.0,3883.mp4,0.0000,0.00
video394.mp4,43.6,3883.mp4,0.5635,4.48
video395.mp4,100.0,4521.mp4,0.0000,0.00
video396.mp4,17.6,4521.mp4,0.8244,5.12
video397.mp4,100.0,2279.mp4,0.0000,0.00
video398.mp4,58.7,2279.mp4,0.4132,6.88
video399.mp4,100.0,0872.mp4,0.0000,0.00
video400.mp4,70.1,0872.mp4,0.2986,5.28
video401.mp4,100.0,0906.mp4,0.0000,0.00
video402.mp4,39.6,0906.mp4,0.6045,7.00
video403.mp4,100.0,0597.mp4,0.0000,0.00
video404.mp4,14.3,0597.mp4,0.8566,6.01
video405.mp4,100.0,3364.mp4,0.0000,0.00
video406.mp4,73.0,3364.mp4,0.2704,6.86
video407.mp4,100.0,4207.mp4,0.0000,0.00
video408.mp4,25.6,4207.mp4,0.7444,5.78
video409.mp4,100.0,1680.mp4,0.0000,0.00
video410.mp4,48.2,1680.mp4,0.5180,5.31
video411.mp4,100.0,2700.mp4,0.0000,0.00
video412.mp4,56.0,2700.mp4,0.4396,5.62
video413.mp4,100.0,3353.mp4,0.0000,0.00
video414.mp4,10.1,3353.mp4,0.8990,7.04
video415.mp4,100.0,2033.mp4,0.0000,0.00
video416.mp4,15.0,2033.mp4,0.8501,3.71
video417.mp4,100.0,0160.mp4,0.0000,0.00
video418.mp4,71.7,0160.mp4,0.2829,6.20
video419.mp4,100.0,3737.mp4,0.0000,0.00
video420.mp4,26.9,3737.mp4,0.7312,6.47
video421.mp4,100.0,1858.mp4,0.0000,0.00
video422.mp4,25.7,1858.mp4,0.7428,3.42
video423.mp4,100.0,0276.mp4,0.0000,0.00
video424.mp4,43.9,0276.mp4,0.5610,4.97
video425.mp4,100.0,4188.mp4,0.0000,0.00
video426.mp4,53.2,4188.mp4,0.4681,7.78
video427.mp4,100.0,0924.mp4,0.0000,0.00
video428.mp4,33.5,0924.mp4,0.6653,5.35
video429.mp4,100.0,2434.mp4,0.0000,0.00
video430.mp4,34.7,2434.mp4,0.6526,3.99
video431.mp4,100.0,2794.mp4,0.0000,0.00
video432.mp4,15.0,2794.mp4,0.8497,6.05
video433.mp4,100.0,2047.mp4,0.0000,0.00
video434.mp4,68.7,2047.mp4,0.3132,7.51
video435.mp4,100.0,2034.mp4,0.0000,0.00
video436.mp4,10.1,2034.mp4,0.8994,3.31
video437.mp4,100.0,2242.mp4,0.0000,0.00
video438.mp4,35.0,2242.mp4,0.6501,4.43
video439.mp4,100.0,4438.mp4,0.0000,0.00
video440.mp4,42.3,4438.mp4,0.5766,6.88
video441.mp4,100.0,1361.mp4,0.0000,0.00
video442.mp4,73.5,1361.mp4,0.2648,6.01
video443.mp4,100.0,4425.mp4,0.0000,0.00
video444.mp4,19.1,4425.mp4,0.8085,6.30
video445.mp4,100.0,1040.mp4,0.0000,0.00
video446.mp4,17.3,1040.mp4,0.8272,7.20
video447.mp4,100.0,3980.mp4,0.0000,0.00
video448.mp4,20.8,3980.mp4,0.7921,6.33
video449.mp4,100.0,3088.mp4,0.0000,0.00
video450.mp4,19.2,3088.mp4,0.8081,3.66
video451.mp4,100.0,4253.mp4,0.0000,0.00
video452.mp4,69.4,4253.mp4,0.3063,7.29
video453.mp4,100.0,0685.mp4,0.0000,0.00
video454.mp4,64.1,0685.mp4,0.3589,7.51
video455.mp4,100.0,2778.mp4,0.0000,0.00
video456.mp4,33.5,2778.mp4,0.6646,3.79
video457.mp4,100.0,3887.mp4,0.0000,0.00
video458.mp4,76.4,3887.mp4,0.2365,5.25
video459.mp4,100.0,3123.mp4,0.0000,0.00
video460.mp4,15.8,3123.mp4,0.8421,8.00
video461.mp4,100.0,2817.mp4,0.0000,0.00
video462.mp4,80.8,2817.mp4,0.1920,5.04
video463.mp4,100.0,1099.mp4,0.0000,0.00
video464.mp4,31.5,1099.mp4,0.6848,4.01
video465.mp4,100.0,4349.mp4,0.0000,0.00
video466.mp4,17.3,4349.mp4,0.8268,5.28
video467.mp4,100.0,2057.mp4,0.0000,0.00
video468.mp4,83.2,2057.mp4,0.1678,6.50
video469.mp4,100.0,3913.mp4,0.0000,0.00
video470.mp4,62.9,3913.mp4,0.3709,4.55
video471.mp4,100.0,0775.mp4,0.0000,0.00
video472.mp4,81.1,0775.mp4,0.1893,4.44
video473.mp4,100.0,2550.mp4,0.0000,0.00
video474.mp4,83.2,2550.mp4,0.1683,4.58
video475.mp4,100.0,4155.mp4,0.0000,0.00
video476.mp4,66.1,4155.mp4,0.3391,4.17
video477.mp4,100.0,0534.mp4,0.0000,0.00
video478.mp4,12.3,0534.mp4,0.8769,7.24
video479.mp4,100.0,1201.mp4,0.0000,0.00
video480.mp4,70.6,1201.mp4,0.2939,3.39
video481.mp4,100.0,1752.mp4,0.0000,0.00
video482.mp4,82.7,1752.mp4,0.1726,7.22
video483.mp4,100.0,0067.mp4,0.0000,0.00
video484.mp4,34.1,0067.mp4,0.6594,4.22
video485.mp4,100.0,4384.mp4,0.0000,0.00
video486.mp4,15.8,4384.mp4,0.8421,3.02
video487.mp4,100.0,2957.mp4,0.0000,0.00
video488.mp4,42.4,2957.mp4,0.5758,6.26
video489.mp4,100.0,1786.mp4,0.0000,0.00
video490.mp4,23.8,1786.mp4,0.7619,3.40
video491.mp4,100.0,4426.mp4,0.0000,0.00
video492.mp4,23.1,4426.mp4,0.7693,4.49
video493.mp4,100.0,0976.mp4,0.0000,0.00
video494.mp4,62.4,0976.mp4,0.3760,4.49
video495.mp4,100.0,0907.mp4,0.0000,0.00
video496.mp4,45.0,0907.mp4,0.5503,3.60
video497.mp4,100.0,1931.mp4,0.0000,0.00
video498.mp4,27.1,1931.mp4,0.7288,4.04
video499.mp4,100.0,3893.mp4,0.0000,0.00
video500.mp4,28.5,3893.mp4,0.7150,3.15
video501.mp4,100.0,3301.mp4,0.0000,0.00
video502.mp4,49.2,3301.mp4,0.5076,6.21
video503.mp4,100.0,0261.mp4,0.0000,0.00
video504.mp4,32.9,0261.mp4,0.6705,5.34
video505.mp4,100.0,2978.mp4,0.0000,0.00
video506.mp4,49.2,2978.mp4,0.5079,7.36
video507.mp4,100.0,2988.mp4,0.0000,0.00
video508.mp4,70.0,2988.mp4,0.2997,6.69
video509.mp4,100.0,1453.mp4,0.0000,0.00
video510.mp4,68.0,1453.mp4,0.3198,5.16
video511.mp4,100.0,3675.mp4,0.0000,0.00
video512.mp4,70.1,3675.mp4,0.2989,4.82
video513.mp4,100.0,2366.mp4,0.0000,0.00
video514.mp4,66.6,2366.mp4,0.3342,3.57
video515.mp4,100.0,0625.mp4,0.0000,0.00
video516.mp4,32.8,0625.mp4,0.6718,4.06
video517.mp4,100.0,1369.mp4,0.0000,0.00
